	Cabina (1 polys, 3 verts) 'ERROR: No material is assigned!'
								Inst20 (2 polys, 6 verts) 'Inst20'
									PresNeumA (3 polys, 9 verts) 'AgujasA'
									PresNeumB (3 polys, 9 verts) 'AgujasA'
								CajitaLuz01 (30 polys, 90 verts) 'Bits'
								2DPlacas (51 polys, 153 verts) 'Placas2D'
								2DPlacasAux (2 polys, 6 verts) 'Placas2D'
								Inst06 (2 polys, 6 verts) 'Inst06A'
									Brujula (6 polys, 18 verts) 'Inst06B'
										DireccionB (14 polys, 42 verts) 'AgujasA'
										DireccionA (8 polys, 24 verts) 'AgujasB'
									ContadorSenuelos1 (20 polys, 60 verts) 'Contador'
									ContadorSenuelos2 (20 polys, 60 verts) 'Contador'
									DirContadorA1 (20 polys, 60 verts) 'Contador'
									DirContadorA2 (20 polys, 60 verts) 'Contador'
									DirContadorA3 (20 polys, 60 verts) 'Contador'
									DirContadorB1 (20 polys, 60 verts) 'Contador'
									DirContadorB2 (20 polys, 60 verts) 'Contador'
									DirContadorB3 (20 polys, 60 verts) 'Contador'
									Fondillo1 (2 polys, 6 verts) 'Negro'
							Contiene (2378 polys, 7134 verts) 'Textura02'
								Mandos (1 polys, 3 verts) 'AgujasA'
									InclinacionMando (1 polys, 3 verts) 'AgujasA'
										MandoHor (1 polys, 3 verts) 'AgujasA'
											MandoVer (1 polys, 3 verts) 'AgujasA'
												MandoColumna (2447 polys, 7341 verts) 'Controles'
													Gatillo (100 polys, 300 verts) 'Controles'
													FrenoHidraulicoA (268 polys, 804 verts) 'Controles'
														FrenoHidraulicoB (92 polys, 276 verts) 'Controles'
								SwitchCanopyBase02 (56 polys, 168 verts) '15 - Predeterminado'
									SellaEscotilla (380 polys, 1140 verts) 'Bits'
								AireRegulador (56 polys, 168 verts) 'Bits'
								CajitaLuz02 (30 polys, 90 verts) 'Bits'
								SwitchCirc04 (70 polys, 210 verts) '15 - Predeterminado'
								Mandos01 (1 polys, 3 verts) 'AgujasA'
								Objeto01 (18 polys, 54 verts) 'Negro'
							Barras01 (1117 polys, 3351 verts) 'T03'
								Tornillo01 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo02 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo03 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo04 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo05 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo06 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo07 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo08 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo09 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo10 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo11 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo12 (38 polys, 114 verts) '15 - Predeterminado'
								Tornillo13 (38 polys, 114 verts) '15 - Predeterminado'
								Barras02 (1117 polys, 3351 verts) 'T03'
								Hueco01 (2 polys, 6 verts) 'Negro'
								Hueco02 (2 polys, 6 verts) 'Negro'
								Hueco03 (2 polys, 6 verts) 'Negro'
								Hueco04 (2 polys, 6 verts) 'Negro'
							BandaFrontalDer (18 polys, 54 verts) 'AgujasA'
							BandaFrontalIzq (10 polys, 30 verts) 'AgujasA'
							Vidrios (398 polys, 1194 verts) 'Vidrios'
							Acelerador (1212 polys, 3636 verts) 'Controles'
							PedalDerechoA (20 polys, 60 verts) 'Controles'
								PedalDerechoB (316 polys, 948 verts) 'Controles'
							PedalIzquierdoA (20 polys, 60 verts) 'Controles'
								PedalIzquierdoB (316 polys, 948 verts) 'Controles'
							Bits (3167 polys, 9501 verts) 'Bits'
								Radar0 (1 polys, 3 verts) '08 - Predeterminado'
									RadarApagado (2 polys, 6 verts) '02 - Predeterminado'
								Radar1 (1 polys, 3 verts) '08 - Predeterminado'
									RadarPantalla (2 polys, 6 verts) 'RadarPantalla'
								RotadorAux01 (1 polys, 3 verts) 'Bits'
									ArmadorMaestro (104 polys, 312 verts) 'Bits'
									SelectorModo (57 polys, 171 verts) 'Bits'
									SwitchCirc01 (70 polys, 210 verts) '15 - Predeterminado'
									SwitchCirc02 (70 polys, 210 verts) '15 - Predeterminado'
									SwitchCirc03 (70 polys, 210 verts) '15 - Predeterminado'
								Compas (20 polys, 60 verts) 'Bits'
								LuzEmergenciaAltB (1 polys, 3 verts) 'AgujasA'
									LuzEmergenciaAltA (2 polys, 6 verts) 'Luces'
									LuzBajaAltitud (2 polys, 6 verts) 'Luces'
								LuzCanopy (2 polys, 6 verts) 'Vacio'
								LuzEmergencia (2 polys, 6 verts) 'Luces'
								LuzEmergenciaAdA (2 polys, 6 verts) 'Luces'
								LuzEmergenciaG (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer01 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer02 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer03 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer04 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer05 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer06 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer07 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer08 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer09 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer10 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer11 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer12 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer13 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer14 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer15 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer16 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer17 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer18 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer19 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer20 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer21 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer22 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer23 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer24 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer25 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer26 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer27 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer28 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer29 (2 polys, 6 verts) 'Luces'
								LuzPanelLatDer30 (2 polys, 6 verts) 'Luces'
								RadarFondo (2 polys, 6 verts) 'Negro'
							AsientoBase (1358 polys, 4074 verts) 'T07'
								Asiento (2594 polys, 7782 verts) 'T07'
							Escotilla (487 polys, 1461 verts) 'T03'
								EspejoSoporteC (216 polys, 648 verts) 'T03'
								EspejoSoporteB (216 polys, 648 verts) 'T03'
								EspejoSoporteA (216 polys, 648 verts) 'T03'
								Espejos (78 polys, 234 verts) 'Espejos'
								EspejoBaseC (300 polys, 900 verts) 'Hule'
								EspejoBaseB (300 polys, 900 verts) 'Hule'
								EspejoBaseA (300 polys, 900 verts) 'Hule'
								CanopyMarcoD (588 polys, 1764 verts) 'T03'
								CanopyMarcoC (487 polys, 1461 verts) 'T03'
								CanopyMarcoB (588 polys, 1764 verts) 'T03'
								Canopy (252 polys, 756 verts) 'Vidrios'


Num Nodes: 281
Total:    (29781 polys, 89343 verts)
Mesh Max: (3167 polys, 9501 verts)

60 Materials:
 (  1) Vacio:
       Transparency enabled
       Vacio.tga
 (  2) HUDE_Elevacion:
       Transparency enabled
       Self-illumination enabled
       HUDE_Elevacion.tga
 (  3) HUDE_AvionMarca:
       Transparency enabled
       Self-illumination enabled
       HUDE_AvionMarca.tga
 (  4) ContadorDigital:
       Transparency enabled
       Self-illumination enabled
       ContadorDigital.tga
 (  5) HUDE_Color:
       Transparency enabled
       Self-illumination enabled
       HUDE_Color.tga
 (  6) HUDE_ACM:
       Transparency enabled
       Self-illumination enabled
       HUDE_ACM.tga
 (  7) 15 - Predeterminado:
       <No Texture>
 (  8) 08 - Predeterminado:
       Specular=0.00, Glossiness=0.00, Color:<0,0,0>
       <No Texture>
 (  9) CajaHUD:
       T04.bmp
 ( 10) HUD:
       Transparency enabled
       HUD.tga
 ( 11) 10 - Predeterminado:
       <No Texture>
 ( 12) Material #23:
       <No Texture>
 ( 13) MetalNegro:
       <No Texture>
 ( 14) ReflejoA:
       <No Texture>
 ( 15) Textura01:
       T01.bmp
 ( 16) Inst05B:
       Inst05B.bmp
 ( 17) Material #83:
       <No Texture>
 ( 18) Material #16:
       <No Texture>
 ( 19) Color00:
       <No Texture>
 ( 20) Inst05A:
       Transparency enabled
       Inst05A.tga
 ( 21) Inst01:
       Transparency enabled
       Inst01.tga
 ( 22) AgujasA:
       <No Texture>
 ( 23) Bits:
       T05.bmp
 ( 24) Inst02:
       Transparency enabled
       Inst02.tga
 ( 25) Inst03:
       Transparency enabled
       Inst03.tga
 ( 26) Luces:
       Transparency enabled
       Self-illumination enabled
       Luces.tga
 ( 27) Inst07:
       Transparency enabled
       Inst07.tga
 ( 28) AgujasC:
       <No Texture>
 ( 29) Negro:
       Specular=0.00, Glossiness=0.00, Color:<0,0,0>
       <No Texture>
 ( 30) Inst08:
       Transparency enabled
       Inst08.tga
 ( 31) Inst09:
       Transparency enabled
       Inst09.tga
 ( 32) Inst10:
       Transparency enabled
       Inst10.tga
 ( 33) Inst11:
       Transparency enabled
       Inst11.tga
 ( 34) Inst12:
       Transparency enabled
       Inst12.tga
 ( 35) Inst13:
       Transparency enabled
       Inst13.tga
 ( 36) Inst14:
       Transparency enabled
       Inst14.tga
 ( 37) Inst15:
       Transparency enabled
       Inst15.tga
 ( 38) Inst16A:
       Transparency enabled
       Inst16A.tga
 ( 39) Inst16B:
       Inst16B.bmp
 ( 40) Contador:
       Contador.bmp
 ( 41) Inst17:
       Transparency enabled
       Inst17.tga
 ( 42) Inst18:
       Transparency enabled
       Inst18.tga
 ( 43) Inst19:
       Transparency enabled
       Inst19.tga
 ( 44) RWR:
       RWR.bmp
 ( 45) MetalNegroNoPulido:
       <No Texture>
 ( 46) Inst04:
       Transparency enabled
       Inst04.tga
 ( 47) Inst20:
       Transparency enabled
       Inst20.tga
 ( 48) Placas2D:
       Transparency enabled
       TT02.tga
 ( 49) Inst06A:
       Transparency enabled
       Inst06AV2.tga
 ( 50) Inst06B:
       Inst06B.bmp
 ( 51) AgujasB:
       <No Texture>
 ( 52) Textura02:
       T02.bmp
 ( 53) Controles:
       T06.bmp
 ( 54) T03:
       T03.bmp
 ( 55) Vidrios:
       Transparency enabled
       TT01.tga
 ( 56) 02 - Predeterminado:
       Radar0.bmp
 ( 57) RadarPantalla:
       Self-illumination enabled
       Radar1.bmp
 ( 58) T07:
       T07.bmp
 ( 59) Espejos:
       Espejos.bmp
 ( 60) Hule:
       <No Texture>

45 Textures:
Vacio.tga
HUDE_Elevacion.tga
HUDE_AvionMarca.tga
ContadorDigital.tga
HUDE_Color.tga
HUDE_ACM.tga
T04.bmp
HUD.tga
T01.bmp
Inst05B.bmp
Inst05A.tga
Inst01.tga
T05.bmp
Inst02.tga
Inst03.tga
Luces.tga
Inst07.tga
Inst08.tga
Inst09.tga
Inst10.tga
Inst11.tga
Inst12.tga
Inst13.tga
Inst14.tga
Inst15.tga
Inst16A.tga
Inst16B.bmp
Contador.bmp
Inst17.tga
Inst18.tga
Inst19.tga
RWR.bmp
Inst04.tga
Inst20.tga
TT02.tga
Inst06AV2.tga
Inst06B.bmp
T02.bmp
T06.bmp
T03.bmp
TT01.tga
Radar0.bmp
Radar1.bmp
T07.bmp
Espejos.bmp
