Peak Coord		Height (ft)
379000	336000	6286
498500	340000	6463
602000	341500	6112
623000	337500	4783
898500	338500	10098
955000	342500	12149
981500	349000	11965
1028000	332000	9967
1051000	333500	10971
137000	347000	3153
435500	351000	6791
536000	351000	6798
546000	349500	7136
587500	340500	5774
652000	348000	7234
671500	352500	4806
727000	346000	6047
748500	340500	4728
969000	350000	13363
1011000	352000	9990
112000	354500	1089
254500	356000	1601
279000	352500	1722
280500	352000	2110
322000	357000	1037
499000	356000	6729
518000	361500	8573
564000	360000	7346
617500	359000	6535
661500	350500	6572
1024500	357500	10023
1040500	366500	10387
1083500	357000	11138
179000	373500	774
227000	368500	787
400500	362000	5407
509000	363500	6572
601500	367500	6365
649000	368000	4419
191500	387000	1286
454500	379000	5984
665500	379500	4321
1018500	380500	11637
1052500	382000	10682
1080000	383500	10446
95500	381500	512
183500	389500	1670
413000	381000	2907
502500	392000	6070
609500	390000	5128
1009000	385500	7290
1021500	382000	11175
1083000	383000	10420
469000	406000	4557
502500	392000	6070
548000	404500	6982
580500	401000	5702
591500	398000	5187
1042000	407500	9501
156500	406500	3169
491000	404000	4872
526500	403000	5335
548000	404500	6982
1036000	409000	9757
1059000	410000	9810
1074000	410000	9108
110500	417500	1850
132500	422000	2477
1018500	410500	1903
143000	420500	2116
150500	430500	1503
1057500	462000	10919
100500	473500	2710
134500	470000	2129
1032500	468000	10984
118500	475000	2510
1009000	489000	10341
1088000	482500	17756
126000	481500	1617
941500	499000	8691
1024000	492000	13435
1059000	487500	15545
159500	496500	1371
937500	500000	9219
989500	496500	13248
1003000	494500	13005
1046500	500500	19787
1072500	494000	14711
113000	509500	1647
928500	512500	10778
942500	517500	11102
984000	500500	12293
934000	520000	11237
966000	518000	10879
1046500	521000	9255
914500	529500	10696
1039000	524500	8343
983000	536500	6247
171000	546500	535
868500	545000	5696
154000	550500	338
847500	555500	3182
873000	551000	4501
1040000	558000	3189
142500	572000	302
154500	572000	417
548500	573500	4738
798000	575500	3127
800500	574500	2949
837500	569000	2592
1057500	573500	2395
154500	572000	417
539000	572500	3796
556000	577000	5404
788500	578500	2500
798000	575500	3127
115000	583500	364
122000	582000	446
563000	586500	4662
760500	592000	1791
1019500	586500	2995
1049500	590500	2149
204500	591500	1375
582500	593500	3196
990000	595500	2241
1013500	590500	2395
1031000	592000	2411
1074000	594000	2083
206000	606500	1345
242000	605000	623
250500	601000	180
658000	614000	548
709000	612500	531
733000	611000	325
800500	611500	121
855000	614000	226
874500	617500	387
1009000	601500	2339
466500	625500	630
512500	623500	417
673500	620500	591
709000	612500	531
860500	617500	266
893000	616500	427
1031500	614000	1378
466500	625500	630
499000	622500	413
858000	620500	243
880500	631000	377
967000	622500	709
985000	622000	784
195000	648000	942
519000	632000	387
794000	642500	95
878500	630500	331
918500	647000	387
949000	634000	515
973000	631500	620
1060000	634500	748
101500	640500	3809
179000	659000	850
251000	659000	463
282500	654000	230
585000	641500	62
828000	644000	157
969000	643000	486
166000	669000	1056
205500	666500	932
227000	658500	814
876000	655000	276
915500	664500	397
946500	666500	515
1019000	652500	614
170000	672000	1253
201500	672000	1053
230500	677000	843
283000	675500	482
302500	678500	328
451000	676500	157
487000	675000	118
981000	671000	476
1031000	679000	318
1053500	662500	312
109500	679500	2493
139000	687500	1772
143500	687500	1608
228500	683000	866
262500	678000	764
291500	689000	564
320000	682000	299
423500	681000	92
461000	675000	135
590000	683000	118
853000	679000	194
888000	689000	282
937500	676500	459
981000	671000	476
155500	695500	1614
240000	692000	919
278000	693500	702
324000	691500	344
541000	699000	135
576500	686500	112
787500	686500	128
896000	694000	308
960500	695500	486
1099000	698000	725
135500	694500	1854
170500	706000	1240
214000	708000	1165
310500	706000	541
514000	705000	253
947000	698000	423
1031000	702500	659
1083500	695500	689
123000	713500	1532
245000	709000	771
341000	714000	482
372500	717500	390
402500	718500	272
466000	708000	246
527000	717000	335
826500	707000	223
874000	705000	335
1031000	702500	659
1049000	709500	614
1095500	702500	676
133500	716000	1608
141500	720000	1503
209000	715000	1483
289000	718500	820
364000	726500	446
616000	723500	417
910000	720000	446
932500	722000	410
1009500	717000	627
1048500	710500	600
90500	721000	1558
207000	725000	1463
212500	726500	1407
297500	728000	709
388000	737000	591
393500	736500	673
426500	736500	679
507500	734000	331
546500	731000	463
577000	739000	528
598000	728500	554
635500	737000	423
733000	738000	659
780500	735500	361
1057000	720500	456
120500	741500	807
184000	733000	1424
200500	737000	1161
241500	744000	1010
312500	747000	705
352000	744500	804
364000	740500	715
408500	748000	666
431000	733000	653
451500	736000	568
498500	733000	338
534500	737500	371
554000	742500	558
599000	740000	551
603000	745000	413
682000	739500	1056
879000	745500	486
899500	740000	505
931000	749000	318
993500	742500	420
101500	749500	1939
133000	757500	807
232000	754500	1070
261000	741500	994
300500	742000	784
373500	749500	636
423000	746500	505
473000	746500	495
612000	746000	390
649000	745500	564
770500	754500	794
819000	757000	545
850500	757000	518
917500	755500	541
1059000	755500	489
1088500	744500	499
138000	769000	856
178500	751000	945
199000	765000	1089
294500	761500	892
350500	762000	886
455000	766000	627
527500	757000	545
675500	754000	656
749500	755000	1050
800000	767000	833
970500	760000	551
1071500	754500	492
215500	773500	1240
254500	769500	1017
294500	761500	892
300500	771500	745
350500	762000	886
403500	772500	942
506000	773000	515
549000	769000	787
695500	768500	659
739000	761000	850
906500	779000	912
983500	776500	594
1004500	779000	604
183500	787000	1227
191000	786500	1214
246000	786000	1004
266500	775500	974
298500	779500	781
325500	779500	623
463500	788500	774
510500	789000	607
577500	774000	722
782500	786500	1030
880000	782500	1184
946000	779000	751
119000	797500	1010
183500	787000	1227
226500	796000	1099
400000	788500	925
455500	792000	876
479000	790000	748
536500	792000	715
595000	796000	620
630500	784500	689
693000	794500	686
749000	795000	801
767500	786000	945
842500	793000	1263
910500	783000	965
963500	798000	551
984000	785500	663
1002000	786000	692
176500	794000	1070
234000	800500	1145
413500	795000	873
517000	809000	696
552500	806000	679
604500	795000	581
631500	799500	696
733000	797000	771
786500	798500	1129
813500	799000	1214
1025000	802000	669
1080500	803000	604
119500	810500	1194
374000	801500	771
388500	814500	794
413500	813500	840
511500	815000	745
545000	807500	689
564000	814000	666
671500	817500	643
716000	811000	735
735000	806500	771
912000	809500	705
947500	814000	705
981000	811000	630
1065500	808500	587
100500	823500	1204
132500	823000	1155
190500	821000	1165
223000	814000	1168
301000	824500	922
365500	818000	738
404500	813500	817
454000	827500	823
535000	812000	735
675500	828500	725
690000	827500	725
768500	815500	883
803000	817500	932
880500	812500	656
936000	828000	728
1009000	823000	725
1013500	823000	751
121500	834000	1201
166500	837000	1266
237500	827000	1040
288000	835000	925
291000	832000	922
322500	831500	833
378500	835000	801
389500	839000	820
402500	821500	797
484000	834000	735
509500	822500	751
578500	830000	449
637000	826500	640
659000	831500	676
697500	828500	712
798500	823500	876
836500	834500	735
871500	839000	709
911000	830500	666
930500	839000	804
138500	847000	1348
158000	842000	1319
171000	841500	1273
313000	839500	925
422500	835500	817
444000	844500	837
461000	832000	761
618500	831500	594
659000	831500	676
680000	842500	705
719000	839000	732
738000	840000	869
836500	834500	735
863500	844000	722
928000	841500	810
953500	843000	712
996500	835500	745
1004000	837500	738
1056000	832000	722
142000	852500	1401
213500	850000	1145
251500	858500	1132
273500	850000	974
339500	854000	909
359500	851500	876
533000	851000	554
584000	858500	499
679000	842500	702
701500	857500	689
770500	857500	722
804000	848000	676
853000	855000	771
864000	854000	787
910000	854000	804
970500	859000	781
993500	854000	735
1048500	853000	728
117500	868500	1286
161000	851000	1329
197000	860500	1138
251500	858500	1132
303000	862000	968
487000	852000	512
541000	863000	535
627500	863500	633
651000	859000	804
746500	869000	735
813000	867500	722
886500	858000	787
964500	861000	781
1056500	866500	781
124000	869500	1362
241500	869500	1096
274000	865500	925
335000	866000	961
344500	864000	860
360500	873500	699
443000	871500	479
506500	872000	564
604000	871500	587
636000	878500	722
658000	878500	810
743000	869500	761
800500	873500	761
841500	872000	741
878500	876500	869
931500	874500	883
993000	868000	778
1030500	868000	823
1048500	868000	820
1089000	876000	423
142000	873500	1266
203000	885500	1106
237500	874500	1093
300500	879500	817
388500	882000	906
420500	882000	486
595500	887000	643
628000	884000	738
642500	879500	784
788500	883500	781
814000	879000	774
868500	873000	830
878500	876500	869
909500	879500	912
963500	883500	823
104000	884000	1191
120500	891000	1194
174500	884500	1168
228500	880500	1076
325500	894000	699
368500	895000	732
390500	882500	771
419500	897500	499
491500	896000	591
522000	884500	535
542000	892500	702
618500	895500	751
631000	893500	794
664500	882500	807
976000	898500	781
1026000	893500	833
251000	904500	968
316000	903000	751
347000	898500	712
385000	891000	784
422500	897000	495
473000	892500	597
501000	900500	653
579000	904500	761
594000	890500	715
644500	900000	837
692500	903500	837
872000	895000	787
900500	900000	797
927000	903000	758
976000	898500	781
1007000	899000	814
1033500	905500	830
1063000	901000	679
183500	912500	955
367000	910500	482
458000	916000	640
484500	905000	643
527500	919000	686
547000	911000	699
579000	904500	761
625500	903500	768
650500	918500	830
699000	910000	856
738000	905000	951
753000	905500	942
822500	912500	823
853000	904000	810
961500	911000	738
1042000	904000	745
145500	911500	925
183500	912500	955
206000	917500	945
346000	925500	509
401000	928500	528
527500	919000	686
568500	924000	751
646500	919000	866
729000	913000	896
776000	928000	876
886000	929000	866
935500	927500	846
970000	918500	794
998000	914000	840
1032000	910500	636
1089000	910500	689
103500	928000	876
298000	923500	692
328500	922000	676
437000	933500	554
457000	923000	633
510000	935500	722
559000	934000	712
583000	921500	801
677500	933500	856
812500	924000	869
844500	935000	896
868000	937000	883
974500	932500	817
1025500	920500	722
108000	930500	840
116000	936000	830
169500	940500	866
298500	930500	653
309000	943500	620
390500	948500	535
414000	941500	531
449000	948500	604
549000	947000	741
569000	944500	804
591500	939500	810
643500	948500	886
757000	941500	958
776500	937000	955
790500	944500	883
844500	935000	896
864000	943000	902
918000	947000	820
944500	938000	843
994000	945000	843
127500	951500	778
151500	947500	810
341500	959000	443
390500	948500	535
453000	953000	686
483500	948000	764
514000	957500	732
571000	946000	817
618000	950000	902
728000	956000	974
730500	953000	974
783000	957000	902
813000	956500	879
907500	944500	735
930500	953000	768
954000	958500	843
987000	948000	846
1037000	958000	587
1064500	949000	558
140000	951500	787
156000	962500	778
271000	963500	666
365500	966500	505
389000	953000	489
490500	951500	738
558500	955000	797
634000	960500	984
679500	959000	978
777000	960500	942
797000	955500	892
954000	958500	843
1011000	954500	627
179500	968000	807
264000	967000	696
315500	971000	482
343500	979000	518
365500	966500	505
435500	973000	571
595500	969500	915
649000	979000	1004
691500	970000	988
730500	963000	997
840500	978500	781
1087500	975000	784
169000	976500	722
191500	980000	1037
207500	981000	909
298000	976000	597
407500	989000	486
453500	975000	581
542000	981000	797
671500	977500	1027
684500	982500	1020
808000	981500	942
834500	980500	801
984000	979000	758
1001500	987500	627
1069000	973500	636
221500	981000	741
509000	988000	784
523000	993000	804
558000	989500	833
576500	992500	876
621500	987500	948
711000	999000	991
791000	992000	948
958000	994500	709
996000	994500	686
1042000	981000	591
1074000	982500	633
1094000	990500	873
346500	996000	587
409500	996500	627
451000	1002000	640
473500	1001000	738
514500	1002000	801
693000	1009000	988
752000	995000	928
801000	1006500	984
841500	1004000	594
885500	1008500	607
914000	1000500	705
958000	994500	709
1081000	998500	715
179500	1007500	620
214000	1010500	558
265000	1015000	722
300500	1012000	587
448000	1002000	614
557500	1014500	843
589000	1011500	879
624000	1014500	961
640500	1013000	1004
665000	1013000	1017
693000	1009000	988
774500	1002000	928
876000	1012000	594
970500	1005000	843
1086000	1015000	738
122000	1022000	541
234000	1022500	561
255000	1021000	722
272000	1016500	633
338500	1024500	535
398500	1022500	607
461500	1023500	679
485000	1021500	702
589000	1011500	879
633500	1021000	1010
748000	1018500	892
906500	1011000	689
953500	1019500	748
993500	1011000	709
168500	1037500	558
210500	1029500	541
297000	1023500	568
321000	1036500	594
364000	1029500	525
453000	1031500	758
548000	1027000	860
705000	1024000	978
720500	1024500	896
757000	1024000	817
801500	1029500	955
853000	1025000	679
882000	1028000	676
1083000	1035000	886
97500	1041000	561
267500	1041500	535
346000	1049000	561
368000	1040000	587
481500	1040000	722
601500	1040500	1312
657000	1040000	1194
678000	1044500	1204
811000	1030500	902
953500	1034000	751
1006000	1030500	669
1029000	1048500	764
190000	1042500	591
304500	1048000	597
328000	1055000	558
351500	1057000	564
379000	1050000	587
417000	1059000	669
439000	1058500	781
554500	1052000	778
617000	1045000	1155
724500	1048500	961
845000	1048500	869
1029000	1048500	764
1043500	1046500	778
1079000	1044500	709
212500	1061500	499
241000	1064000	581
262500	1059000	584
335500	1060500	564
452000	1060000	817
521000	1066000	735
591500	1063500	988
602000	1053500	1483
771000	1068500	991
905000	1057500	643
957500	1055000	797
1040500	1067000	771
1088500	1067500	876
168500	1071500	607
240000	1071500	591
251500	1063500	558
281500	1076500	604
328500	1061000	558
399000	1076000	620
614500	1076500	1365
671000	1061500	1056
693500	1074500	1250
732500	1078000	988
762500	1070500	1020
782500	1067500	974
815500	1069500	892
859500	1074500	837
972000	1060500	699
1051500	1064000	741
181000	1086500	636
205500	1080500	653
362500	1086500	666
414000	1083500	669
525500	1081000	774
614500	1076500	1365
806000	1076000	912
871000	1087000	761
927500	1087000	653
930500	1088500	663
995500	1075000	669
1034500	1071500	758
120000	1090000	853
163500	1095500	692
243500	1090000	666
325000	1095000	627
496000	1088500	781
560500	1096000	771
629000	1087000	988
668000	1087000	906
729000	1097000	1030
748000	1099000	1070
761000	1094000	997
930500	1088500	663
954000	1090000	673
976000	1084000	709
1050000	1085000	741
